;ID,Type,Name
-1,-,None
0,-,None
2,D,Black smoke at hands and feet
3,B,Ice Dragon Breath
5,N,Stormcloud and falling rain
10,I,Yellow runes and sparkles
11,P,Cloud of bacterial spores
12,I,Spikes protrude from body
14,N,Delayed bubble of insects
15,S,Blue and white vertical pillars
16,D,Ghost faces rise from ground
17,F,Cascade of ice crystals
18,N,Molten metal drops penetrate
19,F,Cascade of snowballs
20,I,Shield and yellow sparkles
21,N,"Yellow sparkle tornados rise, leaves fall"
22,X,Abjuration Sound Effect 1
23,O,Green eyes hovering over
24,D,Disc of choking black spots
25,D,"Black smoke bubble, blue skulls"
26,D,"Black spots flow out in area, green skulls flow in"
27,X,Alteration Sound Effect 1
28,B,Fire dragon breath
29,F,Bonfire with black smoke
30,F,"Bonfire, ice storm, rocks shoot up"
32,X,Alteration Sound Effect 1
33,U,"Light blue pillar, blue face/hands from head"
34,O,One green eye hovers
35,B,Poison dragon breath
36,P,"Molten drops fall, poison cloud rises"
37,D,"Green fire and ghosts, with blue pillar on caster"
38,B,Delayed fire dragon breath with sound
39,N,"Leaves, rocks, and cloud of dirt"
40,D,"Pink/purple sparkles, red skull laughs"
41,F,Exploding ice crystal
42,P,Rising molten metal bubbles and green/black smoke
43,C,Big pink ball of light on caster
44,S,"Blue/pink sparkles, purple eye hovers"
45,M,Cyan musical notes rise
46,D,"Blue skulls around head, ghosts, ground green cloud"
47,I,"Armor, shield, pink sparkles"
48,X,Evocation Sound Effect 1
49,X,Evocation Sound Effect 1
50,X,Evocation Sound Effect 1
51,S,"Pinks flow in, blues swirl, yellow pillar rises"
52,P,"Falling disease, rising poison, purple skulls"
53,D,Red/black smoke and sparkle bubble
54,C,Steam and yellow sparkle explosion at caster
55,D,"Pink cloud at feet, purple/green skulls"
58,D,"Purple fire, pink bubble, zombie head"
59,D,"Sparkle blast, red/green smoke"
60,S,"Blues/yellows rise, big pink ball"
61,D,"Ground aflame, red/black smoke/sparkles"
62,N,"Leafy tornado, blue sparkle explosion"
64,D,"Red/black fire/smoke, red arches flow in"
65,O,"Steam cloud, werewolf head"
67,B,Ice dragon breath from target
68,F,Huge pillar of flame
69,S,Subtle blue/pink swirling (15s)
71,F,Crashing ice meteor
72,L,Choking fiery flares
73,U,Blue ground and pillar
74,S,Golden sparkles from eyes
75,D,Large green skulls
76,D,Red static field flows in
77,X,Evocation Sound Effect 2
78,T,Blue/cyan portal
79,X,Conjuration Sound Effect 1
80,F,Embers explode outward
81,C,Golden flash at caster
82,E,Electric bubble
83,X,Conjuration Sound Effect 1
84,F,"Big fire sparkle, flames flicker at feet"
85,F,"Pillar of fire sparkles, flames at feet"
86,S,Blue-green sparkles flow inward
87,L,Purple light bubble cascades
88,S,"Blues flow in, purples flow out"
89,P,Delayed bubble and cone of disease
90,F,Flame aurora cascades
91,L,Purple ring of light at ground and throat
92,X,Evocation Sound Effect 1
93,G,Cyan sparkles flow into ground
94,F,Embers surround caster and target
95,N,Blue/white bubbles flow inward
96,P,Disease cloud permeates ground
98,L,Small purple ball at waist
100,L,"Large flare, yellow flares from ground"
101,D,Green skulls permeate ground
